"Übergeordnete ID-Nummer",ID-Nummer,Kurzname,Beschreibung,Beschreibungsformat,Skalenwerte,Skalenkonfiguration,"Regeltyp (optional)","Regelergebnis (optional)","Regelkonfiguration (optional)","Querverweisende Kompetenz-ID-Nummern","Exportierte ID (optional)","Ist Kompetenzrahmen",Taxonomie
,OncaPflege,"Onlinecampus Pflege Kompetenzrahmen","Onlinecampus Pflege Kompetenzrahmen",1,"Kompetenz noch nicht vorhanden,Kompetenz vorhanden","[{""scaleid"":""2""},{""id"":1,""scaledefault"":0,""proficient"":1},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency"
,1_ESCOadGA,"ESCO: Arbeiten mit digitalen Geräten und Anwendungen","<p dir=""ltr"" style=""text-align:left;""></p><p>Ausführen einfacher digitaler Aufgaben, wie z. B. bereits konfigurierte Hardware bedienen, Informationen im Internet finden, Standardsoftware für die Kommunikation oder Zusammenarbeit mit Anderen oder für die Erstellung und Bearbeitung einfacher Inhalte verwenden und Standardmaßnahmen zum Schutz von Geräten, personenbezogenen Daten und der Privatsphäre in digitalen Umgebungen auswählen. <a href=""http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab""><u>http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab</u></a></p><br /><p></p>",1,,,"core_competency\competency_rule_all",2,null,,176,,
1_ESCOadGA,1_ESCOadGA-DB_1_1,"Digitale Geräte und Peripheriegeräte kennenlernen","Die OncaPflege-Teilnehmenden können digitale Endgeräte und Peripheriegeräte benennen und vergleichen und mögliche Einsatzgebiete anhand der Kriterien Mobilität und Internetzugang begründen",0,,,,0,null,,177,,
1_ESCOadGA,1_ESCOadGA-DB_1_2_a,"Standardsymbole erkennen","Die OncaPflege-Teilnehmenden können standardisierte Symbolik zur Navigation auf verschiedenen Endgeräten interpretieren",0,,,,0,null,,178,,
1_ESCOadGA,1_ESCOadGA-DB_1_2_b,"Kabelverbindungen zuordnen","Die OncaPflege-Teilnehmenden können die typischen (Kabel) Verbindungsstandards zur Übertragung von Daten vergleichen und den  Anwendungsfällen zuordnen",0,,,,0,null,,179,,
1_ESCOadGA,1_ESCOadGA-DB_1_2_c,"Softwaretypen erkennen","Die OncaPflege-Teilnehmenden können Softwaretypen  in ihren Funktionen vergleichen und Handlungskonsequenzen ableiten.",0,,,,0,null,,180,,
1_ESCOadGA,1_ESCOadGA-DB_1_3,"Funktionsfähigkeit von Ton und Bild herstellen","Die OncaPflege-Teilnehmenden können die Funktionsbedingungen für den Einsatz einer Kamera/ eines externen Mikrofons/ /Lautsprechern benennen und können Handlungen zur Herstellung der Funktionsfähigkeit ableiten",0,,,,0,null,,181,,
1_ESCOadGA,1_ESCOadGA-DB_1_4,"Bedienfunktionen verstehen","Die OncaPflege-Teilnehmenden können typische Bedienfunktionen  und  ausgewählte funktionale Tools benennen.",0,,,,0,null,,182,,
1_ESCOadGA,1_ESCOadGA-DB_2_a_1_a,"Netzwerkverbindungen verstehen","Die OncaPflege- Teilnehmenden kennen häufig angewendete Verbindung von digitalen Geräten und können diese vergleichen",0,,,,0,null,,183,,
1_ESCOadGA,1_ESCOadGA-DB_2_a_2_a,"QR Codes anwenden","Die OncaPflege- Teilnehmenden kennen die Funktionsweisen von QR-Codes/QR-Scanner, können diese mit anderen Technologien vergleichen, mögliche Anwendungsbereiche nennen und relevante Informationen für den beruflichen Alltag ermitteln.",0,,,,0,null,,184,,
1_ESCOadGA,1_ESCOadGA-DB_2_a_1_b,"Internetbrowser verwenden","Die OncaPflege- Teilnehmenden vergleichen typische Browser und ihre Anwendungsbereiche, Besonderheiten Limitationen und Möglichkeiten",0,,,,0,null,,185,,
1_ESCOadGA,1_ESCOadGA-DB_2_a_2_b,"Lokal- und Cloudanwendungen unterscheiden","Die OncaPflege-Teilnehmenden geben grundlegende Unterschiede zwischen lokal- und cloudbasierten Anwendungen wieder und leiten ausgewählte Handlungskonsequenzen ab.",0,,,,0,null,,186,,
1_ESCOadGA,1_ESCOadGA-DB_2_a_3,"Suchmaschinen nutzen","Die OncaPflege- Teilnehmenden ermitteln zielgerichtet Informationen mithilfe von Methoden und Techniken zur Navigation von Suchmaschinen.",0,,,,0,null,,187,,
1_ESCOadGA,1_ESCOadGA-DB_2_b_1,"Netiquette Regeln zur Beziehungsgestaltung einsetzen","Die OncaPflege-Teilnehmenden können allgemeine Netiquette-Regeln für einen guten Umgang im digitalen Raum beurteilen und können dahingehend den Einfluss auf die Beziehungsgestaltung überprüfen.",0,,,,0,null,,188,,
1_ESCOadGA,1_ESCOadGA-DB_2_c_1,"Dateiformate zuordnen","<p dir=""ltr"" style=""text-align:left;""></p><p>Die OncaPflege-Teilnehmenden benennen unterschiedliche Dateiformate und leiten typischen Anwendungsbereiche ab</p><br /><p></p>",1,,,,0,null,,189,,
